,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
43612,2010-04-30 20:30:00,pacific ocean (no state),,,oval,60,1 min,Three objects in the sky in the Pacific Ocean off the coast of Mexico or USA on a cruise ship.,06/03/2010,-8.783195,-124.508523
43651,2014-04-30 02:27:00,vantaa (uusimaa) (finland),,,diamond,1200,20 minutes,Sighting in Finland.,05/02/2014,60.293366,25.037733
43655,2014-04-30 18:30:00,uk/scotland,,,circle,30,30 seconds+,((HOAX??  Date is flawed.))  Perfectly-shaped clear white circle ring stationery in sky.,05/08/2014,56.490671,-4.202646
43666,1966-04-03 22:00:00,viet nam,,,disk,600,10 min.,Object moved very slow over our position. There was wind with turblence. no lights. object was Black.Huge,10/27/2004,14.058324,108.277199
43683,1998-04-03 00:00:00,uk/northern ireland,,,changing,0,unknown,Bright light. Noises. Faces (oval) . Operation. Scars.,1/28/1999,54.787715,-6.492315
43757,2009-04-03 11:20:00,ensenada,,,circle,180,3 minutes,Walking along some hills east of Ensenada&#44 Mexico with friends we saw three metalic balls at the top of a hill. At first we thought the,4/14/2009,31.866743,-116.596371
43803,2014-04-03 06:00:00,bahamas,,,changing,900,15 minutes,At 6:00 am I was staing on the balcony on the cruz ship Royal Carribean Exploerrer of the sea. I saw what I sing was UFO.,04/11/2014,25.03428,-77.39628
43847,1999-04-04 19:15:00,aandurah (western australia),,,circle,600,10:00 mins,while driving to work i saw a bright orange object&#44perfectly round and giving off a strong orange glow.,4/26/1999,-32.536809,115.742746
43927,2008-04-04 14:15:00,canada,,,circle,0,don&#39 t  know,I saw strange objects in the sky.,06/12/2008,56.130366,-106.346771
43985,2014-04-04 00:00:00,heredia (costa rica),,,changing,3600,30-60 minutes,Yellow lights in sky--1 big and 1 small.,04/11/2014,10.473523,-84.016742
44001,1916-04-05 13:00:00,france (above; from aircraft),,,cigar,60,about 1 min.,((NUFORC Note:  Possible hoax.  PD))  Saw 3 cigar shaped crafts.,03/09/2004,46.227638,2.213749
44086,2005-04-05 22:55:00,uk/england,,,sphere,1,1 sec,ball of hazy light,4/16/2005,52.355518,-1.17432
44252,2004-04-06 00:00:00,cork (republic of ireland),,,other,3600,1 hour,there were approx 10 small circular shapes formig a large circle&#44moving around and around in the same area in the sky for approx 1 hour,6/18/2004,51.896892,-8.486316
44261,2005-04-06 20:00:00,cuba (north of; at sea; on cruise ship),,,other,30,30 seconds,Caribbean Sea&#44 revolving boomerang shape with lights,05/11/2005,0,0.0
44283,2007-04-06 22:00:00,jersey (channel islands) (uk/england),,,cigar,120,2minutes,2 UFO&#39s seen at beach,06/12/2007,49.214439,-2.13125
44387,1969-04-07 02:00:00,quang tri (viet nam),,,triangle,0,,V SHAPED UFO FLEW FROM HORIZON TO HORIZON IN LESS THEN A SECOND,06/12/2007,16.794347,106.963409
44406,1999-04-07 20:00:00,utrecht/amsterdam (between; utrecht&#44 noord) (netherlands),,,unknown,900,15 minutes,I was drivin on the A2 when I saw in the sunset 5 objects haniging in the air. After a few minutes one disapeared with a light flash&#33 T,6/23/1999,52.370216,4.895168
44464,2006-04-07 12:30:00,in the air,,,other,120,few minutes,I was flying between St. Louis and Houston to a graduate school event.  It was my first time flying on an airplane&#44 and so I insisted o,1/21/2008,46.912287,3.097272
44499,2009-04-07 04:30:00,philippines,,,triangle,5,5 seconds,the first time i saw an object in the sky at 4:30 am five dots of light in v-shape formation appeared then disappeared.,4/14/2009,12.879721,121.774017
44586,2002-04-08 02:35:00,australia,,,flash,3,2-3 seconds,A brief field of white light travelling at a fast speed early in the morning.,4/25/2002,-25.274398,133.775136
44720,2013-04-08 23:35:00,dubai (uar),,,formation,300,~5 minutes,Strange objects above Dubai&#44 United Arab Emirates.,04/12/2013,25.047664,55.181741
44760,2000-04-09 15:20:00,singapore (orchid country club golf course),,,circle,0,not sure,I took some photos from the balcony of a guest house at a golf course and later noticed an object in one of those photos.,05/03/2000,1.352083,103.819836
44808,2005-04-09 11:00:00,port elizabeth (south africa),,,sphere,780,+- 13 min,blue light swiched on under water and a blue sphere rised up hang above the water level 2 or 3 feet above the surfice then slowly moved,4/16/2005,0,0.0
44881,2011-04-09 19:30:00,durban (south africa),,,light,180,2-3 min,bright star like fast moving object making no sound flying past two nights in a row,05/02/2011,-29.85868,31.02184
44907,2012-04-09 22:00:00,abu dhabi (u. a. e.),,,fireball,60,01 min,At night my wife call me from terrace and showed orange red fireball in the sky&#44&#44it was still and within one minute it moves back and s,4/18/2012,24.466667,54.366667
45003,2000-05-10 02:00:00,hungary,,,other,0,,I am a Hungarian and I live in Z&uuml;rich &#44Switzerland. I very offen going to Hungary with Auto. When my first son was born at 05.08.2001 f,08/05/2001,47.162494,19.503304
45059,2005-05-10 11:20:00,beth-shemesh (near) (israel),,,triangle,300,5 minutes,3 Triangular shaped objects. One above a moving car&#44 the two others 500m ahead high in the sky. (NUFORC Note:  Witness is Ph.D.  PD)),6/20/2005,31.747041,34.988099
45099,2008-05-10 23:00:00,uk/scotland,,,oval,1,1 sec,bright fast moving light,10/31/2008,56.490671,-4.202646
45129,2012-05-10 17:00:00,caracas (venezuela),,,other,300,5 min,Today&#44 around 5:00 pm  3 onvis  of the same size cruise over my city at very low speed&#44 at different altitude but moving in straight li,5/13/2012,10.5,-66.916667
45165,1999-05-11 21:00:00,canterbury (south of) (new zealand),,,unknown,300,5 mins,the craft emitted a bright purple electrical discharge from beneath.,08/01/2003,0,0.0
45168,2000-05-11 01:00:00,russia (over),,,fireball,900,15 minutes,I saw a gigantic orange ball inside clouds in the dead of night when I was flying to Japan over Russia.,10/07/2003,0,0.0
45373,1977-05-01 19:00:00,bhandara (near nagpur) (india),,,fireball,15,15 seconds,Orange ball&#44 fast moving at low altitude with no sounds,07/05/2008,21.1667,79.65
45512,2003-05-01 19:00:00,albert falls (south africa),,,sphere,0,not physically seen&#44 capt,Sphere like object captured on photograph,5/27/2003,-29.439204,30.427121
45563,2007-05-01 02:00:00,china,,,other,7,7 seconds,Adavanced craft seen from Mt Huashan&#44 China that materialized&#44 turned into rays of light and dissapeared into thin air.,04/11/2014,0,0.0
45600,2010-05-01 22:00:00,coolidge (antigua),,,other,480,8 min,Is the military operating escape routes to the Orion System for some as yet&#44 future event?,06/03/2010,0,0.0
45623,2012-05-01 23:30:00,prague (czech republic),,,unknown,120,2 minutes,Two orange balls in the sky flying in trail,5/13/2012,0,0.0
45666,2014-05-01 22:45:00,loveland,,,triangle,5,5 second,Putting off own light completely silent.,05/02/2014,0,0.0
45741,2002-05-12 17:00:00,mexico,,,circle,10,10  seconds,Dark circle flying opossite the wind&#33&#33,06/12/2002,0,0.0
45748,2003-05-12 01:00:00,yazd (iran),,,triangle,3600,1houre,dear; sir we have seen the U.F.O from one month evre day they are seen from 5 pm to 10pm with defran colare of light whith circular we,12/09/2003,31.897423,54.356856
45760,2004-05-12 23:00:00,dublin (republic of ireland),,,cone,2700,45 mins,Cone shaped vehicle,06/04/2004,0,0.0
45772,2006-05-12 09:30:00,colchester (esses&#44 england),,,light,4,3-4secs,image in sky,5/15/2006,0,0.0
45793,2007-05-12 22:30:00,dublin (republic of ireland),,,flash,120,2 minutes,visible supernova or ufo,06/12/2007,0,0.0
45794,2007-05-12 23:00:00,bangor (northern ireland),,,formation,1200,20 mins,6-7 orange lights at high altitude in formation heading south west over Bangor&#44 Northern Ireland,06/12/2007,0,0.0
45795,2007-05-12 23:00:00,bangor (northern ireland),,,formation,180,3 minutes,Major UFO sighting Bangor&#44 Northern Ireland (on BBC news),06/12/2007,0,0.0
45818,2010-05-12 20:00:00,juncos,,,chevron,180,3 minutes,Was V-shaped elongated wings extended flying at high altitude was immense and under the wings could be seen as a movement when you see,01/12/2012,0,0.0
45938,2003-05-13 00:50:00,bjaeverskov (dk 4632) (denmark),,,light,300,0&#445 min.,Very sharp light fading out an disappeared in about 5 to 10 sec.,5/13/2003,55.457699,12.033552
45983,2007-05-13 14:00:00,germany,,,formation,300,5 minutes,fussen germany  5 minutes  formation over village view from Neuschwanstein Castle,8/14/2007,51.165691,10.451526
46020,2011-05-13 22:05:00,ballymoney (northern ireland),,,oval,900,15min,Orange fiery disk flying,5/29/2011,55.07203,-6.51699
46184,2012-05-14 20:16:00,mediterranean sea (in flight),,,other,600,10 mins,Small white trail but nothing infront.,5/29/2012,34.553128,18.048011
46210,1957-05-15 02:00:00,atlantic ocean (off africa),,,unknown,30,00:30,While flying night navigational mission. We picked up a target on radar flying from east to west. Navigator clocked target flying at 50,6/18/2004,-14.599413,-28.673147
46237,1968-05-15 20:00:00,morocco (sidi yahia u.s. naval facility),,,disk,10800,3 hours,UFO sighted by four people in Sidi Yahia&#44 Morocco&#44 North Africa,10/31/2003,0,0.0
46240,1968-05-15 23:00:00,mediterranean sea,,,fireball,600,10 minuetes,May 1968 Mediterrainian sea bright lights appeared over the sea performed a number of manuevers and then disappeared.,3/19/2009,34.553128,18.048011
46248,1972-05-15 10:00:00,viet nam,,,circle,720,12 min,Object was about 150 meters in size was in our free kill zone I was armed but did not fire because of its size it was less than 500ft f,3/16/2012,14.058324,108.277199
46334,1994-05-15 13:00:00,antarctica (ross ice shelf) (antarctica),,,fireball,2,2 seconds,green fireball streaking across the ski in a southwesterly direction,1/28/1999,-82.862752,-135.0
46352,1995-05-15 21:00:00,indian ocean (location unspecified),,,circle,120,2 minutes,At Sea&#44 Underwater Sighting (Indian Ocean)  In 1995 I served my last year at sea. My last tour was on the USNS Kane&#44 a US Navy Research,1/22/2004,-33.137551,81.826172
46541,2006-05-15 12:10:00,costa rica,,,unknown,0,,To whom it may concern&#33,7/16/2006,9.748917,-83.753428
46649,2013-05-15 19:10:00,johannesburg (south africa),,,light,3,3 seconds,Sightings in Africa skies&#44 Johannesburg.,5/15/2013,0,0.0
46778,2012-05-16 22:50:00,france (49.07xx&#176;n&#44 1.39xx&#176;e),,,fireball,60,60 seconds,A  very bright (magnitude equal to that of Venus&#44 i.e. -4.50) orange/yellow ball moving SE-NE in clear sky. Disappeared after 30 secs,9/24/2012,46.227638,2.213749
46887,2009-05-17 11:30:00,kempton park (south africa),,,disk,0,unknown,2 disc shaped objects captured in aircraft photo,06/09/2009,-26.1,28.233333
46948,1999-05-18 01:15:00,atlantic ocean (between san juan and u.s. virgin isl.),,,light,30,30 seconds,Sitting on the balcony of the RCCL Grandeur of the Seas my girlfriend and I saw &quot;lights&quot; flying in a triangle shaped formation.,6/23/1999,-14.599413,-28.673147
47002,2005-05-18 23:00:00,grand cayman (on cruise; caribbean),,,circle,10,5 to 10 seconds,My wife and I were on a cruise in the Carribean between Cozamel Mexico and the Grand Cayman Islands. We had returned to our room on the,5/24/2005,19.32217,-81.240869
47032,2009-05-18 09:40:00,jubilee pocket (queensland) (australia),,,sphere,900,15 minutes,Two red and white discs seen over north Queensland&#44 Australia,06/09/2009,-20.26872,148.718456
47107,1991-05-19 00:00:00,epernay (near) (france),,,other,10800,2-3 hours,When penetrating to the inner core of the aliens light signals were sent by you&#33,02/01/2007,49.043411,3.956242
47134,2001-05-19 21:07:00,limassol,,,light,60,approx 1 minute,bright star like light travelling fast across the sky.,08/05/2001,34.70713,33.022617
47153,2004-05-19 11:38:00,greenland (above&#44 inflight),,,disk,0,very short,UFO photo took over Greenland,9/29/2004,0,0.0
47193,2007-05-19 22:57:00,split,,,other,480,8 minutes,A yellow light over Split (Croatia - Europe),08/07/2007,43.508132,16.440193
47219,2009-05-19 23:59:00,uk/england,,,disk,3600,1 hour,Ufo Exploded,4/13/2010,52.355518,-1.17432
47229,2010-05-19 23:12:00,trapani (tp) (italy),,,formation,3600,1 h,Due sfere infuocate su Marsala.  ((NUFORC Note:  See &quot;Description&quot; for translation from Italian.  PD)),11/21/2010,38.017618,12.537202
47299,1978-05-20 17:00:00,atlantic ocean/caribbean sea,,,unknown,300,4-5  mins,Supersonic clouds,3/28/2004,29.192845,-80.991362
47346,1999-05-20 21:15:00,uk/england,,,cigar,20,20 seconds,UFO with single bright flashing light flew very fast and very low over horizon .,07/06/2010,52.355518,-1.17432
47433,2007-05-20 14:00:00,lima,,,circle,1800,30min,Place of the recording in video of the sighting:   Arequipa Ave.&#44 district San Isidro&#44 Lima&#44 Per&uacute;,08/07/2007,0,0.0
47481,2011-05-20 18:00:00,ferizaj (kosovo),,,triangle,120,2min,At ~1800 HLT at least 15 people spotted three triangular aircraft hovering.,5/29/2011,42.372541,21.147384
47515,2012-05-20 23:45:00,charleston,,,formation,240,4 min,In the sky we saw a formation of objects ( looked like stars) BUT ALL WERE MOVING in formation in the same direction&#44 not changing dist,5/29/2012,0,0.0
47635,2009-05-21 16:00:00,lincoln (5 miles south of),,,disk,60,one minute,C-17 followed by awkward circular craft at low altitude.,06/09/2009,0,0.0
47642,2009-05-21 23:45:00,pushkarmoe (near tomarovka) (russia),,,disk,600,10 min,http://maps.google.com/maps?q=50.666666676667&#4436.216666676667&amp;t=k&amp;hl=ru&amp;ie=UTF8&amp;ll=50.703797&#4436.287498&amp;spn=0.041313&#440.111408&amp;z=14,06/09/2009,0,0.0
47669,2011-05-21 21:00:00,mecca (saudi arabia),,,disk,0,random photo,The bottom of the disc appeared reddish with distinct four bright white bulbs-like lights.  ((NUFORC Note:  Lens flare???  PD)),06/12/2011,0,0.0
47758,2007-05-02 04:00:00,marouga (trinidad/tobago),,,other,120,2 min,I saw about 5 - 6 lights in a circle small but very bright moving a little slow over a agricultural area in my country close to the for,06/12/2007,38.075866,23.986755
47843,1973-05-22 23:00:00,atlantic ocean (uscg cutter &quot;spencer&quot;),,,,0,,UFO sighting aboard Coast Guard Cutter Spencer,8/24/2010,-14.599413,-28.673147
47858,1998-05-22 21:30:00,lansvale (sydney) (nsw&#44 australia),,,other,3600,1 hour,As we watched the craft proceeded to play as a child playing hide and seek.It almost seemed to be trying to work out who we were.we wer,11/21/1998,-33.897564,150.953237
47869,2000-05-22 19:00:00,high andean plateau of marcahuasi&#44 peru,,,sphere,2,one hour,14 - 16 high flying luminous spheres in the Peruvian Andes witnessed by 15 hikers from the USA.,12/02/2000,0,0.0
47874,2001-05-22 03:23:00,nis (yugoslavia),,,other,1200,20 mimuta,Srebrn kurac u nebu,08/05/2001,43.3,21.9
47921,2006-05-22 06:06:00,port shepstine (south africa),,,unknown,30,about 20-30 seconds,Splash in ocean&#44 UFO hovers&#44 smoke clouds...,7/16/2006,-30.75,30.45
47972,2010-05-22 23:00:00,ireland,,,unknown,180,3 min,UFO BRIGHT LIGHT IN SKY,06/03/2010,0,0.0
48004,2012-05-22 21:45:00,kengeri bangalore. type &#39emrohit&#39 on google map,,,triangle,25,25 seconds,My family seen UFO on Bangalore sky. 22.05.2012 9.45pm After dinner we were on terrece at 9:30pm&#44 my younger son Sanjay sleeping facing,06/05/2012,12.9,77.4833
48009,2013-05-22 06:30:00,in flight,,,sphere,300,5 minutes,Unexplained glowing sphere in-flight en-route to LAX.  ((NUFORC Note:  Report from airline pilot.  PD)),06/02/2013,38.584329,-108.073096
48022,1968-05-23 21:00:00,azores (u.s.s. monrovia),,,oval,5400,90 min,USO sighting near Azores following USS Scorpion sinking,02/01/2007,0,0.0
48042,2000-05-23 23:00:00,chadwell st mary (choose state/prov) (uk/england),,,formation,5400,1 - 1.5 hours,lights circling around central light&#33,06/06/2000,51.481971,0.369876
48122,2009-05-23 06:00:00,singapore,,,sphere,120,2 mins,Redlight over the city in singapore.,06/09/2009,1.352083,103.819836
48298,2012-05-24 23:20:00,spain,,,cylinder,420,5-7 minutes,UFO seen 2 CONSECUTIVE TIMES&#44 SAME HEIGHT&#44 SAME LOCATION in Barcelona&#44 Spain&#44 5/24/2012&#44 23:20&#44  above Tibidabo mount.,5/29/2012,40.463667,-3.74922
48322,1981-05-25 21:45:00,philippines,,,light,600,10 minutes,I was looking on the sky two lights moving slowly its look like they seeking each other.,09/02/2005,12.879721,121.774017
48336,1999-05-25 03:00:00,albania,,,sphere,600,10 min,I can look at a aircraft and visually reconize it even the ones civillians don&#39t know about  but i could&#39nt reconize this aircraft,05/12/2009,0,0.0
48351,2001-05-25 23:12:00,dublin (republic of ireland),,,sphere,30,30seconds,A glowing sphere hovered above me.,08/05/2001,0,0.0
48387,2006-05-25 00:55:00,uk/england,,,light,7200,2 hours,Multiple luminous objects sighted in night sky,7/16/2006,52.355518,-1.17432
48388,2006-05-25 03:06:00,atlantic ocean (at sea),,,rectangle,300,5 minutes,Date of sighting: 03-25-2006 Location of sighting: 705 miles of the coast of Miami Fla.&#44 and 600 miles from the Bahamas&#8217; Islands&#44 aboar,7/16/2006,-14.599413,-28.673147
48556,2006-05-26 00:39:00,uk/england,,,light,7200,2 hours,More luminous objects seen in night sky.  ((NUFORC Note:  We suspect possible sightings of satellites.  PD)),7/16/2006,52.355518,-1.17432
48675,2013-05-26 22:30:00,plymouth,,,sphere,120,2 minutes,Spherical orange light/object (not a lantern) seen in Plymouth&#44 UK.,06/02/2013,0,0.0
48689,1995-05-27 03:00:00,caxi/luang prahbang (between; mountain top),,,triangle,120,2 minutes,It was a triangular craft motionless with flasfing lights&#44 suddenly it flipped over and took off at amazing speed it never made a sound,8/21/2011,0,0.0
48716,2002-05-27 21:30:00,gampaha (sri lanka),,,circle,60,less than 1 minute,Details of the Object:- Place :- World coordinates 80 01 30 E Size :- Little bigger than a tennis ball Colour :- Front - Very bright ma,07/01/2002,7.091667,79.994167
48728,2004-05-27 00:00:00,unknown,,,unknown,60,1 minute,Think about this... (NO OFFENSE),06/04/2004,42.230537,-83.74664
48841,1997-05-28 21:00:00,urubamba (outside cusco&#44 peruvian andes) (peru),,,light,2,few seconds,A fast moving &quot;body of Light&quot; sweeps over us as we star watch in the Sacred Valley of the Incas outside Cusco Peru at an elevation of l,9/26/1998,0,0.0
48858,2001-05-28 12:00:00,rosita  (leaving; coh.mexico),,,disk,0,mexico,One big silver saucer and two small saucer.  On the top of some hills out of the mines during the day 12:00pm. just for a few mintues.,08/05/2001,38.097224,-105.33611
48985,2012-05-28 22:40:00,nallapadu (near guntur city) (india),,,triangle,8,6- 8 seconds,Black triangle UFO heading North west on nallapadu&#44 near Guntur&#44 Andhra Pradesh&#44 India. 1 witness.,06/05/2012,16.299065,80.386742
48997,2013-05-28 22:00:00,colchester,,,circle,300,5 minutes,Orange light not moving in sky.,07/03/2013,0,0.0
49064,2006-05-29 00:58:00,uk/england,,,light,7200,2 hours,More luminous objects sighted in night sky.  ((NUFORC Note:  Possible sightings of satellites&#44 we suspect.  PD)),7/16/2006,52.355518,-1.17432
49099,2009-05-29 21:25:00,hartebeespoort (south africa),,,diamond,30,30 sec,object bright orange lift from mountains at an alarming speed,06/09/2009,-25.747732,27.887178
49192,2001-05-30 05:00:00,bahia de los angeles (baja california) (mexico),,,sphere,3600,1 hour,Very bright glowing object would drop suddenly and rise again...and stay still. Looked like Venus&#44 but moved,10/12/2001,28.951915,-113.562434
49193,2001-05-30 10:00:00,odzaci (yugoslavia),,,disk,0,?,Strange shape in the grain field. Could it be na UFO landed?,08/05/2001,45.503889,19.256667
49199,2002-05-30 02:30:00,c&quot;an picafort (majorca) (spain),,,circle,60,1min,my husband and i where on holiday in  majorca we were sitting on the balcony fourth floor up.it was a clear night the sea was to the ri,7/26/2002,39.745681,3.130961
49253,2008-05-30 00:00:00,cambodia,,,,0,,Hi&#44  According to the Cambodian newspaper &quot;Phnom Penh Post&quot;&#44 on May 27&#44 2008 farmers/fishermen heard explosion in the sky and saw metal,06/12/2008,12.565679,104.990963
49404,2007-05-31 11:10:00,uk/england,,,circle,30,30 seconds,small orange ball seen moving across the sky in lancashire england,06/12/2007,52.355518,-1.17432
49436,2009-05-31 21:15:00,santo domingo (dominican republic),,,formation,60,1 minute,Formation sighted over Santo Domingo.   Strange unconventional movement  within the formation.,06/09/2009,0,0.0
49460,2012-05-31 00:30:00,praia (santiago) (cape verde islands),,,oval,3600,1 hour,I am writing this letter in order to submit the sighting form with regard to my observations.  I was away on vacation in the Cape Verde,06/05/2012,14.95,-23.516667
49545,2005-05-03 22:00:00,japan,,,triangle,3,2-3 seconds,Multiple sightings in very narrow&#44 low-altitude air corridor,07/05/2005,36.204824,138.252924
49666,1945-05-04 16:03:00,fraer (jutland) (denmark),,,disk,0,,Young Danish boy witnesses UFO (&quot;RFZ&quot;) in dogfight with three U. S. P-51&#39s at end of WWII.,5/24/2005,42.539202,-82.949365
49667,1961-05-04 01:00:00,south pacific island,,,unknown,7200,01:00 to 03:00,Peculiar object seen on military radar over the South Pacific.,12/12/2009,48.071891,-122.389218
49738,2007-05-04 17:33:00,estacion del frontera&#44 malaga (near) (spain),,,oval,1,1 sec,Surprise addition discovered in vacation photo.  ((NUFORC Note:  Probable bird in flight.  PD)),01/10/2009,19.086256,-98.172252
49918,2004-05-05 04:30:00,france (pyrenees mountains),,,fireball,4,4 seconds,rocket like object in mountain ranges between France and Spain while driving on the motorway - quickly coming down from the sky,06/04/2004,46.227638,2.213749
49965,2007-05-05 23:43:00,dublin (republic of ireland),,,chevron,300,5mins,Two UFO&#39s chasing each other over Dublin,06/12/2007,0,0.0
50037,2012-05-05 22:00:00,bethlehem,,,fireball,15,15 seconds,A silent red light&#44 followed by another one&#44 spotted in Bethlehem&#44 GA.,5/13/2012,0,0.0
50084,2014-05-05 23:35:00,st. helens,,,light,20,20 seconds,The object was bright red which seemed to turn bright white and then again back too a bright red it did so every second or so&#44 it was m,05/08/2014,0,0.0
50117,2001-05-06 04:00:00,amanzimtoti (south africa),,,disk,3000,50 min,Disc-shaped object. Bright light. Extreme speed.,08/05/2001,-30.05,30.883333
50149,2004-05-06 19:25:00,goedehoop&#44strand (south africa),,,fireball,60,+- 1 min,Hi  Myself and the kids spotted something which we can only describe as an UFO last night. What happened was this :  We live in Goedeho,05/10/2004,-34.097936,18.829898
50167,2006-05-06 12:00:00,dubai (united arab republic),,,cigar,10,10 sec,UFO discovered on photograph taken in the UAE,06/12/2007,25.047664,55.181741
50168,2006-05-06 12:00:00,uk/wales,,,triangle,10,half hour,BRECON BEACONS UFO/S  ((NUFORC Note:  Possible birds in distance??  PD)),5/15/2006,52.130661,-3.783712
50175,2006-05-06 22:00:00,gjilan (kosovo),,,diamond,0,,diamond lightss,7/16/2006,42.460434,21.469323
50200,2009-05-06 19:01:00,seoul (korea),,,disk,5,5 seconds,Small&#44 spinning disc-shaped object seen by military helicopter over Seoul&#44 South Korea,05/12/2009,37.566535,126.977969
50224,2012-05-06 05:00:00,cape town (south africa),,,fireball,30,30seconds,Ball of fire falling from sky,5/13/2012,-33.924868,18.424055
50250,2013-05-06 23:45:00,uk/england,,,unknown,6,6 seconds,It did emit audio sound which was within my Db range.,07/03/2013,52.355518,-1.17432
50299,2000-05-07 17:30:00,oran (ain-el-turck) (algeria),,,other,900,15 mn.,j&#39en crois aux OVNI car j&#39en ai vu durant plusieurs ann&eacute;e &#44 en tout cas c&#39est beau &agrave; voir &#44 c&#39est innexplicable &#44 j&#39ai beaucoup &agrave; dire.,08/05/2001,0,0.0
50316,2003-05-07 17:00:00,europe,,,unknown,5,5 sec,RADAR WARNING,05/09/2003,54.525961,15.255119
50341,2005-05-07 21:00:00,mexico city (d.f.) (mexico),,,light,60,1 minute,Red lights in the sky.,05/12/2011,19.432608,-99.133208
50360,2006-05-07 21:34:00,in orbit/space shuttle,,,circle,10,10 secs,Lights pass under STS 121 -The circular &quot;hoop&quot;&#44 has 6 nodes which are glowing and strips of light seem to link each node or light.,7/16/2006,0,0.0
50363,2007-05-07 00:10:00,atlantic ocean,,,light,45,45 seconds,two orange lights seen over the Atlantic Ocean,06/12/2007,-14.599413,-28.673147
50392,2010-05-07 21:45:00,san felipe (baja california) (mexico),,,light,1,1 second,Huge Bright White Light Flash in Desert Baja Sky,05/12/2010,10.340556,-68.736944
50458,1998-05-08 22:30:00,morelos (rural area) (mexico),,,light,8,8 sec.,We where on the road when we saw 2 long lights flying hirizontaly flashing alternatly. Then 2 or 3 sec. after it started decending and,1/28/1999,0,0.0
50634,2003-05-09 17:00:00,east atlantic ocean,,,cylinder,1800,30 minutes,Huge cylindrical object paced airliner for at least half an hour off the coast of Portugal.,5/27/2003,-14.599413,-28.673147
50651,2005-05-09 21:23:00,dublin (republic of ireland),,,light,60,1 minute,Moving Bright Star,10/11/2005,0,0.0
50808,1995-06-10 02:00:00,northland&#44 (remote countryside&#44 east coast),,,changing,21600,6 hours,Head lights on a collison course with a hill which suddenly &quot;jumped&quot; back&#44 appeared diamond shaped and zig zagged across the sky,06/10/2003,0,0.0
50875,2002-06-10 19:00:00,trincomalee (sri lanka),,,light,0,in four nights,ufo appiear continously for 3 days,06/12/2002,8.566667,81.233333
50912,2006-06-10 06:00:00,australia,,,disk,7200,2hrs,Green UFO throughout my sunrise photo&#39s,7/16/2006,-25.274398,133.775136
50936,2008-06-10 00:00:00,caracas (venezuela),,,cylinder,120,2 min,After i had seen the 2 objetcs for some reason i was thinking someone was on top of my house&#44 then i heard some noise and i was on bed.,06/12/2008,10.5,-66.916667
50964,2010-06-10 05:00:00,sandakan (sabah) (malaysia),,,circle,900,10-15 min.,very beautiful.in green colour.surround by one layer of white shining light.size like basketball.first spotted come out from the moon.i,11/21/2010,5.84561,118.057056
51084,2004-06-11 22:20:00,vila nova de gaia (porto) (portugal),,,light,3600,about 1 hour,many lights moving&#44 one at a time in many directions,6/18/2004,41.123876,-8.611785
51113,2007-06-11 12:38:00,international space station,,,,600,10 minutes,While watching the pre space walk activitys on nasa television I spotted a huge ufo that could be some of the best footage ever. it app,06/12/2007,6.573475,3.322563
51143,2010-06-11 02:05:00,bulgaria,,,circle,300,5 min.,NLO  ((NUFORC Note:  &quot;NLO&quot; is the Russian acronym for &quot;UFO.&quot;  Can anyone translate from Bulgarian to English?  PD)),7/19/2010,42.733883,25.48583
51150,2010-06-11 23:30:00,afghanistan (forward operating base),,,triangle,10,under 10 sec,V-shaped formation of lights over Afghanistan base.,6/23/2010,33.93911,67.709953
51165,2012-06-11 01:00:00,sarajevo (bosnia/herzegovina),,,unknown,600,10 minutes,White light&#44 seen by one person&#44 moving N to S through a modified straight zig-zag trajectory.  ((NUFORC Note:  Possibly the ISS?  PD)),6/14/2012,43.856259,18.413076
51202,1945-06-01 12:00:00,germany or holland (from bomber),,,circle,0,short,Sighted Cigar shaped Object while on a bombing run in WW2,12/02/2000,0,0.0
51334,1967-06-01 19:30:00,viet nam (off coast),,,light,120,2 minutes,Submerged light under aircraft carrier.,06/12/2007,14.058324,108.277199
51363,1968-06-01 23:00:00,azores (at sea),,,light,120,minutes,USS Scorpion sinking,3/19/2002,0,0.0
51381,1969-06-01 23:00:00,catania (in countryside)  (italy),,,light,1800,20-30 minutes,Green cloud in night sky,07/03/2013,0,0.0
51385,1970-06-01 03:30:00,naha (okinawa) (japan),,,oval,120,1-2 min,Just a Grunt on Guard Duty (USMC),12/23/2002,26.212312,127.679157
51399,1971-06-01 00:00:00,uk/england (devonshire),,,light,30,30seconds,The light  that shone through the window was an unbeleivably beautiful blue and looked like rays.,12/16/2005,52.355518,-1.17432
51408,1971-06-01 23:30:00,midway island - pacific ocean,,,other,600,5-10 minutes,Viewed 7 lights each shaped like a &quot;Chinese Latern&quot;. They serpentined in a slow path&#44 that appeared about 100 feet overhead.  No noise&#44,04/02/1999,32.772602,-117.251356
51419,1972-06-01 21:00:00,johannesburg (south africa),,,light,600,10 minutes,pulsing orange light sighted over lake in Johannesburg South Africa,07/03/2013,0,0.0
51451,1974-06-01 02:00:00,japan,,,oval,120,2 mins,while in the navy me and another guy were military police on a navy ship standing watch on the midnight to seven shift.  we were at the,10/28/2002,36.204824,138.252924
51467,1974-06-01 21:00:00,okinawa,,,unknown,8,8secs.,Fast flying &quot;Arrowhead&quot;,2/14/2008,26.212401,127.680932
